Player,Team,Pos,Pos Rank,Rank,Rookie,Age
Patrick Mahomes,KC,QB,QB1,1,,27.8
Josh Allen,BUF,QB,QB2,2,,27.1
Jalen Hurts,PHI,QB,QB3,3,,24.9
Joe Burrow,CIN,QB,QB4,4,,26.5
Justin Jefferson,MIN,WR,WR1,5,,24
Ja'Marr Chase,CIN,WR,WR2,6,,23.3
Lamar Jackson,BAL,QB,QB5,7,,26.4
Justin Herbert,LAC,QB,QB6,8,,25.3
Trevor Lawrence,JAX,QB,QB7,9,,23.7
Bijan Robinson,ATL,RB,RB1,10,1,21.4
Justin Fields,CHI,QB,QB8,11,,24.3
CeeDee Lamb,DAL,WR,WR3,12,,24.2
Deshaun Watson,CLE,QB,QB9,13,,27.8
A.J. Brown,PHI,WR,WR4,14,,26
Garrett Wilson,NYJ,WR,WR5,15,,22.9
Anthony Richardson,IND,QB,QB10,16,2,21.1
Breece Hall,NYJ,RB,RB2,17,,22
Kyle Pitts,ATL,TE,TE1,18,,22.7
Chris Olave,NO,WR,WR6,19,,23
Jonathan Taylor,IND,RB,RB3,20,,24.4
Jaylen Waddle,MIA,WR,WR7,21,,24.6
Christian McCaffrey,SF,RB,RB4,22,,27
Amon-Ra St. Brown,DET,WR,WR8,23,,23.6
Kyler Murray,ARI,QB,QB11,24,,25.9
Dak Prescott,DAL,QB,QB12,25,,29.9
Mark Andrews,BAL,TE,TE2,26,,27.8
Tyreek Hill,MIA,WR,WR9,27,,29.3
Bryce Young,CAR,QB,QB13,28,3,21.9
Jahmyr Gibbs,DET,RB,RB5,29,4,21.2
Drake London,ATL,WR,WR10,30,,21.9
Tee Higgins,CIN,WR,WR11,31,,24.4
DeVonta Smith,PHI,WR,WR12,32,,24.6
C.J. Stroud,HOU,QB,QB14,33,5,21.7
Jaxon Smith-Njigba,SEA,WR,WR13,34,6,21.3
Travis Kelce,KC,TE,TE3,35,,33.7
Stefon Diggs,BUF,WR,WR14,36,,29.5
Cooper Kupp,LAR,WR,WR15,37,,30
Tua Tagovailoa,MIA,QB,QB15,38,,25.3
Saquon Barkley,NYG,RB,RB6,39,,26.4
Davante Adams,LV,WR,WR16,40,,30.5
DK Metcalf,SEA,WR,WR17,41,,25.5
Austin Ekeler,LAC,RB,RB7,42,,28.1
Travis Etienne,JAX,RB,RB8,43,,24.4
T.J. Hockenson,MIN,TE,TE4,44,,26
Christian Watson,GB,WR,WR18,45,,24.1
Rhamondre Stevenson,NE,RB,RB9,46,,25.3
Josh Jacobs,LV,RB,RB10,47,,25.3
Tony Pollard,DAL,RB,RB11,48,,26.1
Jordan Addison,MIN,WR,WR19,49,7,21.4
Kenneth Walker,SEA,RB,RB12,50,,22.7
Daniel Jones,NYG,QB,QB16,51,,26.1
Nick Chubb,CLE,RB,RB13,52,,27.5
Quentin Johnston,LAC,WR,WR20,53,8,21.8
Deebo Samuel,SF,WR,WR21,54,,27.4
Jerry Jeudy,DEN,WR,WR22,55,,24.1
DJ Moore,CHI,WR,WR23,56,,26.2
Treylon Burks,TEN,WR,WR24,57,,23.2
George Kittle,SF,TE,TE5,58,,29.7
Dallas Goedert,PHI,TE,TE6,59,,28.5
Michael Pittman,IND,WR,WR25,60,,25.7
J.K. Dobbins,BAL,RB,RB14,61,,24.5
Jahan Dotson,WAS,WR,WR26,62,,23.2
Terry McLaurin,WAS,WR,WR27,63,,27.8
Brandon Aiyuk,SF,WR,WR28,64,,25.3
Zay Flowers,BAL,WR,WR29,65,9,22.8
Chris Godwin,TB,WR,WR30,66,,27.3
Javonte Williams,DEN,RB,RB15,67,,23.1
Najee Harris,PIT,RB,RB16,68,,25.3
Calvin Ridley,JAX,WR,WR31,69,,28.5
Jameson Williams,DET,WR,WR32,70,,22.2
George Pickens,PIT,WR,WR33,71,,22.3
Pat Freiermuth,PIT,TE,TE7,72,,24.6
Dameon Pierce,HOU,RB,RB17,73,,23.3
Derrick Henry,TEN,RB,RB18,74,,29.4
Marquise Brown,ARI,WR,WR34,75,,26
Jared Goff,DET,QB,QB17,76,,28.7
Amari Cooper,CLE,WR,WR35,77,,29
Diontae Johnson,PIT,WR,WR36,78,,27
Russell Wilson,DEN,QB,QB18,79,,34.5
Geno Smith,SEA,QB,QB19,80,,32.7
Kirk Cousins,MIN,QB,QB20,81,,34.8
Dalton Kincaid,BUF,TE,TE8,82,10,23.7
Kenny Pickett,PIT,QB,QB21,83,,25
Trey Lance,SF,QB,QB22,84,,23.1
Rashod Bateman,BAL,WR,WR37,85,,23.6
Jordan Love,GB,QB,QB23,86,,24.6
DeAndre Hopkins,,WR,WR38,87,,31
Christian Kirk,JAX,WR,WR39,88,,26.6
Michael Mayer,LV,TE,TE9,89,11,21.9
Rachaad White,TB,RB,RB19,90,,24.2
D'Andre Swift,PHI,RB,RB20,91,,24.4
Joe Mixon,CIN,RB,RB21,92,,26.9
Devon Achane,MIA,RB,RB22,93,12,21.7
Derek Carr,NO,QB,QB24,94,,32.2
Darren Waller,NYG,TE,TE10,95,,30.8
Mike Williams,LAC,WR,WR40,96,,28.7
Sam LaPorta,DET,TE,TE11,97,13,22.4
David Njoku,CLE,TE,TE12,98,,26.9
Brock Purdy,SF,QB,QB25,99,,23.5
Cam Akers,LAR,RB,RB23,100,,24
Aaron Rodgers,NYJ,QB,QB26,101,,39.5
Zach Charbonnet,SEA,RB,RB24,102,14,22.4
Mike Evans,TB,WR,WR41,103,,29.8
Keenan Allen,LAC,WR,WR42,104,,31.1
Isiah Pacheco,KC,RB,RB25,105,,24.3
Mac Jones,NE,QB,QB27,106,,24.8
Kadarius Toney,KC,WR,WR43,107,,24.4
Aaron Jones,GB,RB,RB26,108,,28.5
Greg Dulcich,DEN,TE,TE13,109,,23.2
Marvin Mims,DEN,WR,WR44,110,15,21.2
Miles Sanders,CAR,RB,RB27,111,,26.1
Will Levis,TEN,QB,QB28,112,16,24
Matthew Stafford,LAR,QB,QB29,113,,35.4
Elijah Moore,CLE,WR,WR45,114,,23.2
Tyler Lockett,SEA,WR,WR46,115,,30.7
Dalvin Cook,MIN,RB,RB28,116,,27.9
Chigoziem Okonkwo,TEN,TE,TE14,117,,23.8
Kendre Miller,NO,RB,RB29,118,17,21
James Cook,BUF,RB,RB30,119,,23.7
AJ Dillon,GB,RB,RB31,120,,25.1
Desmond Ridder,ATL,QB,QB30,121,,23.8
David Montgomery,DET,RB,RB32,122,,26
Rashee Rice,KC,WR,WR47,123,18,23.2
Alexander Mattison,MIN,RB,RB33,124,,25
Sam Howell,WAS,QB,QB31,125,,22.8
Jonathan Mingo,CAR,WR,WR48,126,19,22.2
Alvin Kamara,NO,RB,RB34,127,,27.9
Dalton Schultz,HOU,TE,TE15,128,,26.9
Evan Engram,JAX,TE,TE16,129,,28.8
Brian Robinson,WAS,RB,RB35,130,,24.2
James Conner,ARI,RB,RB36,131,,28.1
Tank Bigsby,JAX,RB,RB37,132,20,21.8
Antonio Gibson,WAS,RB,RB38,133,,25
Gabe Davis,BUF,WR,WR49,134,,24.2
Jayden Reed,GB,WR,WR50,135,21,23.1
Josh Downs,IND,WR,WR51,136,22,21.8
Courtland Sutton,DEN,WR,WR52,137,,27.7
Cole Kmet,CHI,TE,TE17,138,,24.3
Khalil Herbert,CHI,RB,RB39,139,,25.2
Brandin Cooks,DAL,WR,WR53,140,,29.7
Jakobi Meyers,LV,WR,WR54,141,,26.6
Roschon Johnson,CHI,RB,RB40,142,23,22.4
Skyy Moore,KC,WR,WR55,143,,22.8
Jalin Hyatt,NYG,WR,WR56,144,24,21.7
Tyjae Spears,TEN,RB,RB41,145,25,22
Rondale Moore,ARI,WR,WR57,146,,23
Luke Musgrave,GB,TE,TE18,147,26,22.8
Tyler Allgeier,ATL,RB,RB42,148,,23.2
Alec Pierce,IND,WR,WR58,149,,23.1
Hendon Hooker,DET,QB,QB32,150,27,25.4
Jimmy Garoppolo,LV,QB,QB33,151,,31.6
Michael Thomas,NO,WR,WR59,152,,30.3
Trey McBride,ARI,TE,TE19,153,,23.6
Wan'Dale Robinson,NYG,WR,WR60,154,,22.4
Nico Collins,HOU,WR,WR61,155,,24.2
JuJu Smith-Schuster,NE,WR,WR62,156,,26.6
Ryan Tannehill,TEN,QB,QB34,157,,34.9
John Metchie,HOU,WR,WR63,158,,22.9
Elijah Mitchell,SF,RB,RB43,159,,25.1
Rashaad Penny,PHI,RB,RB44,160,,27.4
Baker Mayfield,TB,QB,QB35,161,,28.2
Darnell Mooney,CHI,WR,WR64,162,,25.6
Damien Harris,BUF,RB,RB45,163,,26.3
Chase Brown,CIN,RB,RB46,164,28,23.2
Samaje Perine,DEN,RB,RB47,165,,27.8
Romeo Doubs,GB,WR,WR65,166,,23.2
Isaiah Likely,BAL,TE,TE20,167,,23.2
Dawson Knox,BUF,TE,TE21,168,,26.6
Zach Evans,LAR,RB,RB48,169,29,22
Devin Singletary,HOU,RB,RB49,170,,25.8
Noah Fant,SEA,TE,TE22,171,,25.6
Jelani Woods,IND,TE,TE23,172,,24.7
Jaylen Warren,PIT,RB,RB50,173,,24.6
Tucker Kraft,GB,TE,TE24,174,30,22.6
Chase Claypool,CHI,WR,WR66,175,,24.9